epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.49999,1.89063,3.10305,2.46294,0.00357,1,0.38638,0.21583,1.62527,3.80311,2.46853,0.00013336,0.00013336,0.00013336
2,10.4572,2.06661,3.11041,2.53735,0.00337,1,0.62738,0.41189,0.97423,3.71272,2.0263,0.000277779,0.000277779,0.000277779
3,15.4052,1.64108,2.91336,2.05424,0.00331,1,0.53833,0.30149,1.12706,3.55132,2.02885,0.000416257,0.000416257,0.000416257
4,20.3565,1.56148,2.82492,1.99982,0.00331,1,0.53833,0.30149,1.12706,3.55132,2.02885,0.000548793,0.000548793,0.000548793
5,25.2874,1.50807,2.65763,1.91306,0.0033,1,0.6375,0.29572,0.92825,3.67967,1.89704,0.000675388,0.000675388,0.000675388
6,30.2457,1.64439,2.67748,2.06518,0.0033,1,0.68406,0.44795,1.05908,3.5594,2.07279,0.000796043,0.000796043,0.000796043
7,35.2569,1.28318,2.3997,1.78653,0.0033,1,0.68406,0.44795,1.05908,3.5594,2.07279,0.000910755,0.000910755,0.000910755
8,40.492,1.43489,2.27007,1.87982,0.0033,1,0.68406,0.44795,1.05908,3.5594,2.07279,0.00101953,0.00101953,0.00101953
9,45.3867,1.51077,2.40275,1.95821,0.36322,1,0.705,0.4689,1.11617,3.04298,2.24624,0.00112236,0.00112236,0.00112236
10,50.2705,1.37345,2.20772,1.90088,0.36322,1,0.705,0.4689,1.11617,3.04298,2.24624,0.00121925,0.00121925,0.00121925
11,55.1866,1.37858,2.14008,1.80893,0.36322,1,0.705,0.4689,1.11617,3.04298,2.24624,0.0013102,0.0013102,0.0013102
12,60.0721,1.44494,2.15583,1.82695,0.36322,1,0.705,0.4689,1.11617,3.04298,2.24624,0.00130393,0.00130393,0.00130393
13,65.1062,1.4822,2.22433,1.94975,0.52289,0.66667,0.70308,0.40752,1.70106,5.83766,2.47191,0.00127092,0.00127092,0.00127092
14,69.9356,1.2426,1.877,1.7182,0.52289,0.66667,0.70308,0.40752,1.70106,5.83766,2.47191,0.00123791,0.00123791,0.00123791
15,75.0295,1.52197,2.15225,2.01109,0.52289,0.66667,0.70308,0.40752,1.70106,5.83766,2.47191,0.00120491,0.00120491,0.00120491
